*Hour,Load
3821,2.55297
3822,2.59827
3823,2.73602
3824,3.03703
3825,3.27574
3826,3.44785
3827,3.66354
3828,3.99163
3829,4.46423
3830,4.99375
3831,5.49662
3832,5.65648
3833,6.15832
3834,6.09099
3835,5.712
3836,5.34507
3837,5.08984
3838,4.72697
3839,4.16257
3840,3.92385
3841,3.26928
3842,2.96229
3843,2.79003
3844,2.70425
3845,2.63151
3846,2.76167
3847,2.90712
3848,3.12573
3849,3.51013
3850,3.84341
3851,4.2423
3852,4.67394
3853,5.3613
3854,5.97263
3855,6.44937
3856,6.79021
3857,7.06377
3858,7.14526
3859,7.13817
3860,6.74589
3861,6.15208
3862,5.6901
3863,5.05823
3864,4.08897
3865,3.85314
3866,3.51554
3867,3.26453
3868,3.09527
3869,2.95621
3870,2.97261
3871,2.98981
3872,3.18451
3873,3.53064
3874,3.91587
3875,4.25098
3876,4.72313
3877,5.14169
3878,5.73665
3879,6.18402
3880,6.48084
3881,6.61194
3882,6.55771
3883,6.36288
3884,5.98198
3885,5.51261
3886,4.99983
3887,4.49966
3888,3.28086
3889,3.4819
3890,3.24605
3891,3.06602
3892,2.88731
3893,2.70051
3894,2.7517
3895,2.82848
3896,2.94939
3897,3.17321
3898,3.39452
3899,3.35679
3900,3.39802
3901,3.40731
3902,3.46159
3903,3.37099
3904,3.6245
3905,3.49622
3906,3.66169
3907,3.6692
3908,3.57378
3909,3.41391
3910,3.31669
3911,3.03377
3912,2.8404
3913,2.39718
3914,2.29799
3915,2.22363
3916,2.14509
3917,2.12837
3918,2.40943
3919,2.61201
3920,2.7574
3921,2.86756
3922,2.86509
3923,2.83284
3924,2.90817
3925,2.99193
3926,3.22658
3927,3.47453
3928,3.7669
3929,4.03373
3930,4.12285
3931,4.22046
3932,3.98944
3933,3.81102
3934,3.66262
3935,3.28715
3936,2.97901
3937,2.67395
3938,2.55022
3939,2.49019
3940,2.42386
3941,2.42819
3942,2.551
3943,2.66977
3944,2.80826
3945,2.92149
3946,2.94821
3947,3.11117
3948,3.24086
3949,3.49755
3950,3.83326
3951,4.16403
3952,4.52059
3953,4.83427
3954,5.0609
3955,5.13365
3956,4.9714
3957,4.62315
3958,4.17959
3959,3.59032
3960,2.96913
3961,2.85332
3962,2.68227
3963,2.58358
3964,2.48963
3965,2.4898
3966,2.40926
3967,2.50533
3968,2.61757
3969,2.77188
3970,2.88053
3971,3.15017
3972,3.48992
3973,3.76912
3974,4.16531
3975,4.53621
3976,4.84093
3977,5.07798
3978,5.18655
3979,5.2244
3980,4.85818
3981,4.34851
3982,3.84729
3983,3.30818
3984,2.70004
3985,2.61604
3986,2.44185
3987,2.33517
3988,2.28808
3989,2.22256
3990,2.32747
3991,2.48021
3992,2.58094
3993,2.71602
3994,2.84178
3995,2.77592
3996,2.86117
3997,3.08709
3998,3.31296
3999,3.59699
4000,3.84075
4001,4.04985
4002,4.14405
4003,3.81425
4004,3.46361
4005,3.25601
4006,3.12369
4007,2.86299
4008,2.5389
4009,2.33852
4010,2.20616
4011,2.13509
4012,2.09611
4013,2.06087
4014,2.19072
4015,2.35628
4016,2.47133
4017,2.62717
4018,2.61366
4019,2.6202
4020,2.68994
4021,2.8146
4022,2.81563
4023,2.78868
4024,2.90299
4025,3.00566
4026,2.94645
4027,3.09676
4028,3.08153
4029,3.13084
4030,3.06254
4031,2.80978
4032,2.56688
4033,2.28153
4034,2.19149
4035,2.14647
4036,2.09859
4037,2.09299
4038,2.14881
4039,2.27123
4040,2.37547
4041,2.5019
4042,2.52692
4043,2.54412
4044,2.49928
4045,2.56492
4046,2.66433
4047,2.80639
4048,3.08813
4049,3.11468
4050,3.30181
4051,3.41146
4052,3.37589
4053,3.31233
4054,3.23323
4055,2.96295
4056,2.66322
4057,2.38145
4058,2.22017
4059,2.15449
4060,2.11759
4061,2.06985
4062,2.16252
4063,2.26897
4064,2.34872
4065,2.49887
4066,2.57239
4067,2.64628
4068,2.70384
4069,2.84209
4070,3.07253
4071,3.36299
4072,3.65272
4073,3.85851
4074,4.03219
4075,4.15892
4076,4.03226
4077,3.76393
4078,3.55895
4079,3.19829
4080,2.91377
4081,2.50273
4082,2.33482
4083,2.25854
4084,2.1687
4085,2.1573
4086,2.32669
4087,2.41498
4088,2.58045
4089,2.7379
4090,2.8673
4091,3.15075
4092,3.51667
4093,3.77757
4094,4.22385
4095,4.68495
4096,5.11989
4097,5.31645
4098,5.40491
4099,5.41903
4100,5.16414
4101,4.67827
4102,4.13738
4103,3.58103
4104,3.54485
4105,2.76181
4106,2.50295
4107,2.41659
4108,2.37329
4109,2.37096
4110,2.45956
4111,2.54807
4112,2.80817
4113,3.39232
4114,3.89768
4115,4.39474
4116,4.8817
4117,5.37397
4118,5.84384
4119,2.25818
4120,1.3536
4121,1.51312
4122,2.81045
4123,7.81022
4124,7.42332
4125,6.69356
4126,5.91212
4127,5.10573
4128,4.11266
4129,3.43705
4130,3.05363
4131,2.87402
4132,2.73889
4133,2.61327
4134,2.6661
4135,2.80279
4136,2.99503
4137,3.35588
4138,3.77892
4139,4.46849
4140,5.00166
4141,5.26013
4142,5.72525
4143,6.07822
4144,6.58516
4145,6.7771
4146,6.76611
4147,6.62665
4148,6.40581
4149,5.92521
4150,5.13689
4151,4.64509
4152,3.86413
4153,3.56043
4154,3.22794
4155,3.03679
4156,2.9375
4157,2.8307
4158,2.88521
4159,2.97476
4160,3.20256
4161,3.51878
4162,3.82099
4163,4.07907
4164,4.59268
4165,5.3214
4166,5.83333
4167,6.23409
4168,6.59452
4169,6.75107
4170,6.72588
4171,6.65412
4172,6.19079
4173,5.57187
4174,5.00483
4175,4.33616
4176,3.71946
4177,3.24875
4178,2.97466
4179,2.79515
4180,2.67321
4181,2.64885
4182,2.7057
4183,2.82031
4184,3.01922
4185,3.31172
4186,3.52507
4187,3.79093
4188,4.38368
4189,4.88593
4190,5.53996
4191,6.01697
4192,6.39798
4193,6.47046
4194,6.43087
4195,6.30794
4196,5.86079
4197,5.30913
4198,4.92192
4199,4.42294
4200,3.65526
4201,3.34266
4202,3.11678
4203,2.93541
4204,2.78109
4205,2.70854
4206,2.73457
4207,2.7464
4208,2.89171
4209,3.05752
4210,3.35466
4211,3.65746
4212,4.01697
4213,4.4828
4214,5.05797
4215,5.50651
4216,5.8325
4217,5.92444
4218,5.91833
4219,5.7512
4220,5.367
4221,4.91346
4222,4.43525
4223,3.94076
4224,3.14688
4225,3.12468
4226,2.82421
4227,2.5987
4228,2.44421
