start_hour,tech,recovery_end_hour,recovery_target_MWh,soc_at_recovery_end_MWh,recovery_soc_slack_MWh,soc_slack_cost_USD
126,Li-Ion,221,0.0,0.0,0.0,0.0
126,H2,221,6712.124072132646,5985.8217134862,726.302358646446,726302.358646446
127,Li-Ion,222,0.0,0.0,0.0,0.0
127,H2,222,6712.124072132646,5980.287727580906,731.8363445517398,731836.3445517397
128,Li-Ion,223,0.0,0.0,0.0,0.0
128,H2,223,6712.124072132646,5977.8740837660325,734.2499883666133,734249.9883666133
129,Li-Ion,224,0.0,0.0,0.0,0.0
129,H2,224,6712.124072132646,5978.0321976490395,734.0918744836063,734091.8744836063
130,Li-Ion,225,0.0,0.0,0.0,0.0
130,H2,225,6712.124072132646,5977.715969883024,734.4081022496221,734408.1022496221
131,Li-Ion,226,0.0,0.0,0.0,0.0
131,H2,226,6712.124072132646,5903.50289658887,808.6211755437762,808621.1755437762
132,Li-Ion,227,0.0,0.0,0.0,0.0
132,H2,227,6712.124072132646,5899.550049513658,812.5740226189873,812574.0226189874
133,Li-Ion,228,0.0,0.0,0.0,0.0
133,H2,228,6712.124072132646,5894.332291374383,817.7917807582626,817791.7807582626
134,Li-Ion,229,0.0,0.0,0.0,0.0
134,H2,229,6712.124072132646,5885.47791392591,826.6461582067359,826646.1582067359
135,Li-Ion,230,0.0,0.0,0.0,0.0
135,H2,230,6712.124072132646,5875.674853179388,836.4492189532575,836449.2189532575
136,Li-Ion,231,0.0,0.0,0.0,0.0
136,H2,231,6712.124072132646,5857.304632877408,854.8194392552377,854819.4392552377
137,Li-Ion,232,0.0,0.0,0.0,0.0
137,H2,232,6712.124072132646,5760.186615335278,951.9374567973682,951937.4567973682
138,Li-Ion,233,0.0,0.0,0.0,0.0
138,H2,233,6712.124072132646,5658.167067419884,1053.9570047127618,1053957.0047127618
139,Li-Ion,234,0.0,0.0,0.0,0.0
139,H2,234,6712.124072132646,5650.261373269463,1061.8626988631831,1061862.6988631831
140,Li-Ion,235,0.0,0.0,0.0,0.0
140,H2,235,6712.124072132646,5640.9326541719665,1071.1914179606792,1071191.4179606792
141,Li-Ion,236,0.0,0.0,0.0,0.0
141,H2,236,6712.124072132646,5556.463747270509,1155.6603248621368,1155660.3248621367
142,Li-Ion,237,0.0,0.0,0.0,0.0
142,H2,237,6712.124072132646,5482.2722427645995,1229.8518293680463,1229851.8293680463
143,Li-Ion,238,0.0,0.0,0.0,0.0
143,H2,238,6712.124072132646,5478.319395689387,1233.8046764432584,1233804.6764432583
144,Li-Ion,239,0.0,0.0,0.0,0.0
144,H2,239,6712.124072132646,5478.951851221421,1233.172220911225,1233172.2209112248
145,Li-Ion,240,0.0,0.0,0.0,0.0
145,H2,240,6712.124072132646,5441.284653690452,1270.839418442194,1270839.4184421941
146,Li-Ion,241,0.0,0.0,0.0,0.0
146,H2,241,6712.124072132646,5445.395614648672,1266.7284574839741,1266728.457483974
147,Li-Ion,242,0.0,0.0,0.0,0.0
147,H2,242,6712.124072132646,5420.532002050878,1291.5920700817678,1291592.0700817679
148,Li-Ion,243,0.0,0.0,0.0,0.0
148,H2,243,6712.124072132646,5397.9684521650515,1314.1556199675942,1314155.6199675943
149,Li-Ion,244,0.0,0.0,0.0,0.0
149,H2,244,6712.124072132646,5400.0239326441615,1312.1001394884843,1312100.1394884842
150,Li-Ion,245,0.0,0.0,0.0,0.0
150,H2,245,6712.124072132646,5363.463532294253,1348.6605398383927,1348660.5398383928
151,Li-Ion,246,0.0,0.0,0.0,0.0
151,H2,246,6712.124072132646,5316.78384343181,1395.3402287008357,1395340.2287008357
152,Li-Ion,247,0.0,0.0,0.0,0.0
152,H2,247,6712.124072132646,5256.190132864624,1455.9339392680222,1455933.939268022
153,Li-Ion,248,0.0,0.0,0.0,0.0
153,H2,248,6712.124072132646,5241.48554174484,1470.638530387806,1470638.530387806
154,Li-Ion,249,0.0,0.0,0.0,0.0
154,H2,249,6712.124072132646,5157.490976492408,1554.633095640238,1554633.095640238
155,Li-Ion,250,0.0,0.0,0.0,0.0
155,H2,250,6712.124072132646,5147.0554602138545,1565.0686119187912,1565068.6119187912
156,Li-Ion,251,0.0,0.0,0.0,0.0
