"Scenario","Technology","Hour","Charging power (MW)","Discharging power (MW)","State of charge (MWh)"
"1","Vanadium","82",0.00000,0.00000,0.00000
"1","PHS","82",0.00000,0.00000,0.00000
"1","H2","82",0.00000,0.00000,0.00000
"1","Li-Ion","83",0.00000,0.00000,0.00000
"1","Vanadium","83",0.00000,0.00000,0.00000
"1","PHS","83",0.00000,0.00000,0.00000
"1","H2","83",0.00000,0.00000,0.00000
"1","Li-Ion","84",0.00000,0.00000,0.00000
"1","Vanadium","84",0.00000,0.00000,0.00000
"1","PHS","84",0.00000,0.00000,0.00000
"1","H2","84",0.00000,0.00000,0.00000
"1","Li-Ion","85",0.00000,0.00000,0.00000
"1","Vanadium","85",0.00000,0.00000,0.00000
"1","PHS","85",0.00000,0.00000,0.00000
"1","H2","85",0.00000,0.00000,0.00000
"1","Li-Ion","86",0.00000,0.00000,0.00000
"1","Vanadium","86",0.00000,0.00000,0.00000
"1","PHS","86",0.00000,0.00000,0.00000
"1","H2","86",0.00000,0.00000,0.00000
"1","Li-Ion","87",0.00000,0.00000,0.00000
"1","Vanadium","87",0.00000,0.00000,0.00000
"1","PHS","87",0.00000,0.00000,0.00000
"1","H2","87",0.00000,0.00000,0.00000
"1","Li-Ion","88",0.00000,0.00000,0.00000
"1","Vanadium","88",0.00000,0.00000,0.00000
"1","PHS","88",0.00000,0.00000,0.00000
"1","H2","88",0.00000,0.00000,0.00000
"1","Li-Ion","89",0.00000,0.00000,0.00000
"1","Vanadium","89",0.00000,0.00000,0.00000
"1","PHS","89",0.00000,0.00000,0.00000
"1","H2","89",0.00000,0.00000,0.00000
"1","Li-Ion","90",0.00000,0.00000,0.00000
"1","Vanadium","90",0.00000,0.00000,0.00000
"1","PHS","90",0.00000,0.00000,0.00000
"1","H2","90",0.00000,0.00000,0.00000
"1","Li-Ion","91",0.00000,0.00000,0.00000
"1","Vanadium","91",0.00000,0.00000,0.00000
"1","PHS","91",0.00000,0.00000,0.00000
"1","H2","91",0.00000,0.00000,0.00000
"1","Li-Ion","92",0.00000,0.00000,0.00000
"1","Vanadium","92",0.00000,0.00000,0.00000
"1","PHS","92",0.00000,0.00000,0.00000
"1","H2","92",0.00000,0.00000,0.00000
"1","Li-Ion","93",0.00000,0.00000,0.00000
"1","Vanadium","93",0.00000,0.00000,0.00000
"1","PHS","93",0.00000,0.00000,0.00000
"1","H2","93",0.00000,0.00000,0.00000
"1","Li-Ion","94",0.00000,0.00000,0.00000
"1","Vanadium","94",0.00000,0.00000,0.00000
"1","PHS","94",0.00000,0.00000,0.00000
"1","H2","94",0.00000,0.00000,0.00000
"1","Li-Ion","95",0.00000,0.00000,0.00000
"1","Vanadium","95",0.00000,0.00000,0.00000
"1","PHS","95",0.00000,0.00000,0.00000
"1","H2","95",0.00000,0.00000,0.00000
"1","Li-Ion","96",0.00000,0.00000,0.00000
"1","Vanadium","96",0.00000,0.00000,0.00000
"1","PHS","96",0.00000,0.00000,0.00000
"1","H2","96",0.00000,0.00000,0.00000
"1","Li-Ion","97",0.00000,0.00000,0.00000
"1","Vanadium","97",0.00000,0.00000,0.00000
"1","PHS","97",0.00000,0.00000,0.00000
"1","H2","97",0.00000,0.00000,0.00000
"1","Li-Ion","98",0.00000,0.00000,0.00000
"1","Vanadium","98",0.00000,0.00000,0.00000
"1","PHS","98",0.00000,0.00000,0.00000
"1","H2","98",0.00000,0.00000,0.00000
"1","Li-Ion","99",0.00000,0.00000,0.00000
"1","Vanadium","99",0.00000,0.00000,0.00000
"1","PHS","99",0.00000,0.00000,0.00000
"1","H2","99",0.00000,0.00000,0.00000
"1","Li-Ion","100",0.00000,0.00000,0.00000
"1","Vanadium","100",0.00000,0.00000,0.00000
"1","PHS","100",0.00000,0.00000,0.00000
"1","H2","100",0.00000,0.00000,0.00000
"1","Li-Ion","101",0.00000,0.00000,0.00000
"1","Vanadium","101",0.00000,0.00000,0.00000
"1","PHS","101",0.00000,0.00000,0.00000
"1","H2","101",0.00000,0.00000,0.00000
"1","Li-Ion","102",0.00000,0.00000,0.00000
"1","Vanadium","102",0.00000,0.00000,0.00000
"1","PHS","102",0.00000,0.00000,0.00000
"1","H2","102",0.00000,0.00000,0.00000
"1","Li-Ion","103",0.00000,0.00000,0.00000
"1","Vanadium","103",0.00000,0.00000,0.00000
"1","PHS","103",0.00000,0.00000,0.00000
"1","H2","103",0.00000,0.00000,0.00000
"1","Li-Ion","104",0.00000,0.00000,0.00000
"1","Vanadium","104",0.00000,0.00000,0.00000
"1","PHS","104",0.00000,0.00000,0.00000
"1","H2","104",0.00000,0.00000,0.00000
"1","Li-Ion","105",0.00000,0.00000,0.00000
"1","Vanadium","105",0.00000,0.00000,0.00000
"1","PHS","105",0.00000,0.00000,0.00000
"1","H2","105",0.00000,0.00000,0.00000
"1","Li-Ion","106",0.00000,0.00000,0.00000
"1","Vanadium","106",0.00000,0.00000,0.00000
"1","PHS","106",0.00000,0.00000,0.00000
"1","H2","106",0.00000,0.00000,0.00000
"1","Li-Ion","107",0.00000,0.00000,0.00000
"1","Vanadium","107",0.00000,0.00000,0.00000
"1","PHS","107",0.00000,0.00000,0.00000
"1","H2","107",0.00000,0.00000,0.00000
"1","Li-Ion","108",0.00000,0.00000,0.00000
"1","Vanadium","108",0.00000,0.00000,0.00000
"1","PHS","108",0.00000,0.00000,0.00000
"1","H2","108",0.00000,0.00000,0.00000
"1","Li-Ion","109",0.00000,0.00000,0.00000
"1","Vanadium","109",0.00000,0.00000,0.00000
"1","PHS","109",0.00000,0.00000,0.00000
"1","H2","109",0.00000,0.00000,0.00000
"1","Li-Ion","110",0.00000,0.00000,0.00000
"1","Vanadium","110",0.00000,0.00000,0.00000
"1","PHS","110",0.00000,0.00000,0.00000
"1","H2","110",0.00000,0.00000,0.00000
"1","Li-Ion","111",0.00000,0.00000,0.00000
"1","Vanadium","111",0.00000,0.00000,0.00000
"1","PHS","111",0.00000,0.00000,0.00000
"1","H2","111",0.00000,0.00000,0.00000
"1","Li-Ion","112",0.00000,0.00000,0.00000
"1","Vanadium","112",0.00000,0.00000,0.00000
"1","PHS","112",0.00000,0.00000,0.00000
"1","H2","112",0.00000,0.00000,0.00000
"1","Li-Ion","113",0.00000,0.00000,0.00000
"1","Vanadium","113",0.00000,0.00000,0.00000
"1","PHS","113",0.00000,0.00000,0.00000
"1","H2","113",0.00000,0.00000,0.00000
"1","Li-Ion","114",0.00000,0.00000,0.00000
"1","Vanadium","114",0.00000,0.00000,0.00000
"1","PHS","114",0.00000,0.00000,0.00000
"1","H2","114",0.00000,0.00000,0.00000
"1","Li-Ion","115",0.00000,0.00000,0.00000
"1","Vanadium","115",0.00000,0.00000,0.00000
"1","PHS","115",0.00000,0.00000,0.00000
"1","H2","115",0.00000,0.00000,0.00000
"1","Li-Ion","116",0.00000,0.00000,0.00000
"1","Vanadium","116",0.00000,0.00000,0.00000
"1","PHS","116",0.00000,0.00000,0.00000
"1","H2","116",0.00000,0.00000,0.00000
"1","Li-Ion","117",0.00000,0.00000,0.00000
"1","Vanadium","117",0.00000,0.00000,0.00000
"1","PHS","117",0.00000,0.00000,0.00000
"1","H2","117",0.00000,0.00000,0.00000
"1","Li-Ion","118",0.00000,0.00000,0.00000
"1","Vanadium","118",0.00000,0.00000,0.00000
"1","PHS","118",0.00000,0.00000,0.00000
"1","H2","118",0.00000,0.00000,0.00000
"1","Li-Ion","119",0.00000,0.00000,0.00000
"1","Vanadium","119",0.00000,0.00000,0.00000
"1","PHS","119",0.00000,0.00000,0.00000
"1","H2","119",0.00000,0.00000,0.00000
"1","Li-Ion","120",0.00000,0.00000,0.00000
"1","Vanadium","120",0.00000,0.00000,0.00000
"1","PHS","120",0.00000,0.00000,0.00000
"1","H2","120",0.00000,0.00000,0.00000
"1","Li-Ion","121",0.00000,0.00000,0.00000
"1","Vanadium","121",0.00000,0.00000,0.00000
"1","PHS","121",0.00000,0.00000,0.00000
"1","H2","121",0.00000,0.00000,0.00000
"1","Li-Ion","122",0.00000,0.00000,0.00000
"1","Vanadium","122",0.00000,0.00000,0.00000
"1","PHS","122",0.00000,0.00000,0.00000
"1","H2","122",0.00000,0.00000,0.00000
"1","Li-Ion","123",0.00000,0.00000,0.00000
"1","Vanadium","123",0.00000,0.00000,0.00000
"1","PHS","123",0.00000,0.00000,0.00000
"1","H2","123",0.00000,0.00000,0.00000
"1","Li-Ion","124",0.00000,0.00000,0.00000
"1","Vanadium","124",0.00000,0.00000,0.00000
"1","PHS","124",0.00000,0.00000,0.00000
"1","H2","124",0.00000,0.00000,0.00000
"1","Li-Ion","125",0.00000,0.00000,0.00000
"1","Vanadium","125",0.00000,0.00000,0.00000
"1","PHS","125",0.00000,0.00000,0.00000
"1","H2","125",0.00000,0.00000,0.00000
"1","Li-Ion","126",0.00000,0.00000,0.00000
"1","Vanadium","126",0.00000,0.00000,0.00000
